# midterm (max 125), final (max 100)
16,2
26,25
26,28
29,36
29,37
31,39
31,39
32,39
32,40
34,41
34,42
35,42
36,43
38,43
40,43
43,43
44,44
47,44
48,45
48,46
49,46
49,47
50,47
52,47
54,49
54,50
55,50
55,51
55,52
56,53
56,53
56,53
56,54
57,54
58,55
58,56
58,56
59,56
59,57
59,57
60,57
60,57
61,58
62,58
65,59
65,59
65,59
66,60
67,60
67,61
67,61
67,63
68,63
68,63
68,63
68,63
68,64
69,66
69,68
70,70
72,70
72,72
72,73
73,74
73,74
74,74
75,76
75,78
76,82
77,82
77,84
78,87
79,96
0,13
5,14
5,16
5,17
8,18
9,20
10,21
12,21
13,30
19,30
19,33
19,34
20,34
21,34
21,35
25,35
25,36
30,36
34,37
35,39
35,39
37,43
38,43
39,44
39,44
42,44
45,44
45,45
46,45
47,45
47,46
48,48
50,49
51,49
51,50
54,50
56,52
57,52
58,53
58,54
60,54
60,55
60,55
61,56
62,56
62,57
62,58
62,59
64,61
64,62
64,64
65,70
66,71
66,72
66,72
69,72
69,73
70,73
71,75
73,79
73,80
75,81
80,91
89,92
